## Blowfly (Lucilia cuprina) population experiment
## Numbers are adult population size
## Adult food supply limited to 0.5g per day
## data from Fig. 3 of A. J. Nicholson (1954) 
## "An Outline of the Dynamics of Animal Populations", 
## Australian Journal of Zoology, 2:9-65
## Data from the Global Population Dynamics Database at Silwood Park
## Nominal data source according to GPDD is 
## Naumov, N.P. (1972) The ecology of animals. 
## (Originally published as Ekologiya zhivotnykh by the Higher School Stete Publishers, Moscow, 1963.)
"day","y"
40,3721
41,3373
42,2880
43,1805
44,1195
45,557
46,267
47,239
48,182
49,270
50,300
51,330
52,360
53,390
54,420
55,362
56,363
57,423
58,423
59,483
60,425
61,397
62,573
63,864
64,1533
65,2377
66,3366
67,4472
68,5403
69,7613
70,7498
71,7440
72,7529
73,7820
74,7996
75,8316
76,5061
77,5150
78,5296
79,4337
80,3728
81,3060
82,2654
83,2074
84,1697
85,1290
86,971
87,769
88,683
89,655
90,626
91,511
92,425
93,426
94,310
95,253
96,196
97,168
98,197
99,286
100,781
101,927
102,1073
103,1249
104,1366
105,1570
106,1949
107,2473
108,3578
110,4800
111,5440
112,4715
113,4192
114,3844
115,3177
116,3439
117,3731
118,4168
119,3617
120,3123
121,2223
122,1759
123,800
124,656
125,483
126,367
127,223
128,224
129,138
130,51
131,0
132,82
133,170
134,287
135,172
136,80
137,115
138,0
139,379
140,961
141,2095
142,2678
143,3231
144,3116
145,2914
146,2740
147,2944
148,3526
149,4225
150,5127
151,6116
152,7222
153,6554
154,5944
155,4405
156,3010
157,2255
158,1413
159,862
160,601
161,544
162,516
163,488
164,488
165,489
166,490
167,462
168,463
169,464
170,464
171,465
172,496
173,584
174,701
175,818
176,1400
177,1953
178,2710
179,3234
180,3729
181,3875
182,4022
183,3761
184,3559
185,3996
186,4462
187,4928
188,5248
189,5889
190,6616
191,7548
192,9642
193,8596
194,4585
195,2812
196,1883
197,1477
198,984
199,607
200,404
201,434
202,377
203,349
204,321
205,292
206,235
207,207
208,121
209,92
210,122
211,152
212,328
213,648
214,1347
215,1784
216,2337
217,2803
218,3269
219,3735
220,4376
221,4260
222,4174
223,4116
224,4321
225,4496
226,4701
227,4411
228,4034
229,3657
230,3890
231,4269
232,4939
233,5754
234,4940
235,4040
236,3227
237,2356
238,1427
239,1108
240,905
241,1052
242,1110
243,1169
244,1257
245,1258
246,1230
247,1173
248,1203
249,1116
250,1059
251,1002
252,1090
253,1237
254,1615
255,2168
256,2721
257,3420
258,4381
259,5254
260,6185
261,7697
262,7465
263,6478
264,6188
265,5898
266,5522
267,5057
268,4331
269,4042
270,3839
271,3607
272,3289
273,2446
274,1749
275,1023
276,646
277,444
278,242
279,214
280,69
281,70
282,100
283,101
284,130
285,248
286,336
287,482
288,629
289,862
290,1066
291,1329
292,1765
293,2202
294,2406
295,4733
296,4851
297,4502
298,4213
299,3982
300,3895
301,3663
302,4013
303,4508
304,5352
305,6079
306,6546
307,5588
308,4774
309,3932
310,3119
311,2073
312,1638
313,1348
314,797
315,536
