## Blowfly (Lucilia cuprina) population experiment
## Larval food supply restricted to 50g
## data from Fig. 4A of A. J. Nicholson (1954) 
## "An Outline of the Dynamics of Animal Populations", 
## Australian Journal of Zoology, 2:9-65
## Data digitized by S. N. Wood
"day","y"
240,439
242,244
244,146
246,78
248,39
250,10
252,19
254,156
256,1550
258,2262
260,2301
262,2067
264,1521
266,1024
268,1326
270,1238
272,1033
274,809
276,556
278,322
280,136
282,49
284,29
286,10
288,19
290,19
292,1521
294,2662
296,2798
298,2506
300,1774
302,1248
304,809
306,829
308,526
310,331
312,214
314,97
316,39
318,49
320,585
322,1521
324,3013
326,3519
328,3149
330,2554
332,1979
334,2525
336,2174
338,1638
340,1121
342,643
344,370
346,234
348,117
350,49
352,19
354,19
356,58
358,575
360,1716
362,1950
364,1813
366,1482
368,975
370,595
372,487
374,536
376,419
378,312
380,234
382,107
384,49
386,1316
388,1930
390,1813
392,1813
394,2398
396,3256
398,3334
400,2964
402,1872
404,1131
406,731
408,458
410,253
412,107
414,49
416,10
418,29
420,273
422,1199
424,1716
426,1716
428,1521
430,1199
432,731
434,419
436,819
438,643
440,526
442,234
444,97
446,721
448,1024
450,936
452,829
454,916
456,1833
458,2662
460,2623
