## Blowfly (Lucilia cuprina) population experiment
## Larval food supply restricted to 25g
## data from Fig. 4B of A. J. Nicholson (1954) 
## "An Outline of the Dynamics of Animal Populations", 
## Australian Journal of Zoology, 2:9-65
## Data digitized by S. N. Wood
"day","y"
240,33
242,16
244,6
246,22
248,378
250,860
252,1084
254,1249
256,1172
258,909
260,718
262,543
264,367
266,269
268,258
270,181
272,110
274,61
276,17
278,1
280,6
282,297
284,565
286,505
288,549
290,691
292,822
294,899
296,1195
298,1047
300,845
302,631
304,423
306,221
308,117
310,46
312,18
314,13
316,18
318,111
320,511
322,719
324,785
326,708
328,610
330,511
332,610
334,709
336,599
338,495
340,369
342,232
344,145
346,68
348,36
350,8
352,3
354,3
356,145
358,726
360,1328
362,1503
364,1459
366,1251
368,1016
370,748
372,638
374,491
376,332
378,190
380,69
382,25
384,9
386,4
388,37
390,80
392,425
394,847
396,1082
398,1050
400,803
402,749
404,935
406,891
408,716
410,514
412,344
414,229
416,141
418,87
420,65
422,21
424,26
426,142
428,727
430,919
432,979
434,925
436,782
438,536
440,350
442,213
444,115
446,65
448,22
450,11
452,0
454,5
456,334
458,498
460,761
