"year","births","size","biweek"
1944,1725.03846153846,2462500,0
1945,1763.07692307692,2601370,26
1946,2539.34615384615,3109240,52
1947,2718.65384615385,3245000,78
1948,2338.65384615385,3339100,104
1949,2174.88461538462,3375470,130
1950,2063.84615384615,3389620,156
1951,2014.88461538462,3358000,182
1952,1978.57692307692,3363000,208
1953,1961.23076923077,3343000,234
1954,1951.73076923077,3322000,260
1955,1916.38461538462,3295000,286
1956,2006.57692307692,3273000,312
1957,2028.19230769231,3253880,338
1958,2082.76923076923,3225000,364
1959,2122.73076923077,3204000,390
1960,2206.46153846154,3194480,416
1961,2309.69230769231,3179980,442
1962,2404.76923076923,3185770,468
1963,2442.30769230769,3178870,494
1964,2442.30769230769,3184600,520
1965,5491.38461538462,7948270,546
1966,5419.38461538462,7913600,572
1967,5166.80769230769,7880760,598
1968,4899.73076923077,7763820,624
1969,4647.38461538462,7704500,650
1970,4459.73076923077,7612300,676
1971,4348.76923076923,7418020,702
1972,3981.76923076923,7353810,728
1973,3655.11538461538,7281080,754
