"year","week","reports","biweek"
1944,2,180,1
1944,4,271,2
1944,6,423,3
1944,8,465,4
1944,10,523,5
1944,12,649,6
1944,14,624,7
1944,16,556,8
1944,18,420,9
1944,20,423,10
1944,22,488,11
1944,24,441,12
1944,26,268,13
1944,28,260,14
1944,30,163,15
1944,32,83,16
1944,34,60,17
1944,36,41,18
1944,38,48,19
1944,40,65,20
1944,42,82,21
1944,44,145,22
1944,46,122,23
1944,48,194,24
1944,50,237,25
1944,52,318,26
1945,2,450,27
1945,4,671,28
1945,6,1387,29
1945,8,1617,30
1945,10,2058,31
1945,12,3099,32
1945,14,3340,33
1945,16,2965,34
1945,18,1873,35
1945,20,1641,36
1945,22,1122,37
1945,24,884,38
1945,26,591,39
1945,28,427,40
1945,30,282,41
1945,32,174,42
1945,34,127,43
1945,36,84,44
1945,38,97,45
1945,40,68,46
1945,42,88,47
1945,44,79,48
1945,46,58,49
1945,48,85,50
1945,50,75,51
1945,52,121,52
1946,2,174,53
1946,4,209,54
1946,6,458,55
1946,8,742,56
1946,10,929,57
1946,12,1027,58
1946,14,1411,59
1946,16,1885,60
1946,18,2110,61
1946,20,1764,62
1946,22,2001,63
1946,24,2154,64
1946,26,1843,65
1946,28,1427,66
1946,30,970,67
1946,32,726,68
1946,34,416,69
1946,36,218,70
1946,38,160,71
1946,40,160,72
1946,42,188,73
1946,44,224,74
1946,46,298,75
1946,48,436,76
1946,50,482,77
1946,52,468,78
1947,2,650,79
1947,4,796,80
1947,6,1065,81
1947,8,1241,82
1947,10,1230,83
1947,12,1012,84
1947,14,981,85
1947,16,1015,86
1947,18,771,87
1947,20,1031,88
1947,22,1093,89
1947,24,1196,90
1947,26,1076,91
1947,28,1029,92
1947,30,828,93
1947,32,669,94
1947,34,372,95
1947,36,171,96
1947,38,84,97
1947,40,71,98
1947,42,113,99
1947,44,108,100
1947,46,188,101
1947,48,241,102
1947,50,305,103
1947,52,248,104
1948,2,466,105
1948,4,624,106
1948,6,1160,107
1948,8,1698,108
1948,10,2560,109
1948,12,3141,110
1948,14,3528,111
1948,16,2507,112
1948,18,2037,113
1948,20,2034,114
1948,22,1952,115
1948,24,1838,116
1948,26,1560,117
1948,28,1187,118
1948,30,1009,119
1948,32,717,120
1948,34,338,121
1948,36,208,122
1948,38,174,123
1948,40,173,124
1948,42,164,125
1948,44,242,126
1948,46,243,127
